VALUE;SUB_VALUE;SUB_VALUE2;TPLKZ;FLTYP;FLLEVEL;EQART;RBNR;NATURE;DOCUMENTO_PM
TK;P1;01;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
P2;01;2E;Z-RES;E;5;FL_PCS;FL00000E;;
AC;P2;01;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
AR;P2;01;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
DC;P2;01;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
DS;P2;01;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
GI;P2;01;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
LC;P2;01;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
PM;P2;01;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
PS;P2;01;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
RC;P2;01;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
TK;P2;01;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
CH;00;02;Z-RES;E;6;FL_AUXSYST;FL00000E;;
B1;02;2E;Z-RES;E;5;FL_BATBANK;FL00000E;;
B2;02;2E;Z-RES;E;5;FL_BATBANK;FL00000E;;
B3;02;2E;Z-RES;E;5;FL_BATBANK;FL00000E;;
B4;02;2E;Z-RES;E;5;FL_BATBANK;FL00000E;;
C1;02;2E;Z-RES;E;5;FL_BATCONT;FL00000E;;
CL;C1;02;Z-RES;E;6;FL_CONTCOM;FL00000E;;
DS;C1;02;Z-RES;E;6;FL_CONTCOM;FL00000E;;
EN;C1;02;Z-RES;E;6;FL_INFRAST;FL00000E;;
LC;C1;02;Z-RES;E;6;FL_CONTCOM;FL00000E;;
C2;02;2E;Z-RES;E;5;FL_BATCONT;FL00000E;;
CL;C2;02;Z-RES;E;6;FL_CONTCOM;FL00000E;;
